"Vaccine","Geography Type","Geography","FIPS","Season/Survey Year","Month","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","1","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","2","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","3","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","4","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","5","Race and Ethnicity","Black, Non-Hispanic","NR †","NR †","64"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","7","Race and Ethnicity","Hispanic","NR †","NR †","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Race and Ethnicity","Hispanic","NR †","NR †","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Race and Ethnicity","Hispanic","16.8","7.0 to 26.6","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Race and Ethnicity","Hispanic","30.0","19.2 to 40.8 ‡","268"
